x,y,score
-1.05019e+06, 3.44795e+06, 0.00721464, 1327
-987076, 4.71164e+06, 0, 0
408472, 3.4903e+06, 0, 1918
181033, 4.11099e+06, 0, 2328
977687, 2.88307e+06, 0, 1603
-535449, 3.38359e+06, 0, 1737
-472712, 2.63295e+06, 0, 1457
698757, 2.2835e+06, 0.879043, 1290
