veg,fiss,r,k,leap,perm,score,dates
-1,100,0.03,50,15,30,0.1248,1
-1,100,0.04,50,0,10,0.0768,1
-1,100,0.04,50,5,10,0.119,1
-1,100,0.04,50,5,30,0.0501,1
-1,100,0.04,50,10,10,0.0052,1
-1,100,0.04,50,10,30,0.1198,1
-1,100,0.04,50,15,30,0.0024,1
-1,150,0.02,50,0,30,0.057,1
-1,150,0.02,50,5,30,0.1096,1
-1,150,0.02,100,0,10,0.0856,1
-1,150,0.02,100,5,10,0.0508,1
-1,150,0.02,100,10,10,0.121,1
-1,150,0.02,100,10,30,0.0102,1
-1,150,0.02,100,15,10,0.0045,1
-1,150,0.02,100,15,30,0.1198,1
-1,150,0.03,50,0,10,0.0557,1
-1,150,0.03,50,5,10,0.0618,1
-1,150,0.03,50,10,10,0.0071,1
-1,150,0.03,50,10,30,0.0909,1
-1,150,0.03,100,0,30,0.0008,1
-1,150,0.03,100,5,10,0.1245,1
-1,150,0.03,100,5,30,0.0618,1
-1,150,0.03,100,10,30,0.1001,1
-1,150,0.04,50,5,10,0.0119,1
-1,150,0.04,50,5,30,0.1046,1
-1,150,0.04,50,10,10,0.1202,1
-1,150,0.04,50,10,30,0.0369,1
-1,150,0.04,50,15,10,0.0136,1
-1,150,0.04,50,15,30,0.0366,1
-1,150,0.04,100,0,10,0.1206,1
-1,150,0.04,100,0,30,0.0505,1
-1,150,0.04,100,5,10,0.0405,1
-1,150,0.04,100,5,30,0.1149,1
0.4,50,0.02,10,5,10,0.0291,1
0.4,50,0.03,10,15,10,0.0856,1
0.4,50,0.04,10,0,10,0.0486,1
0.4,50,0.04,10,5,10,0.0566,1
0.4,50,0.04,10,10,10,0.0028,1
0.4,50,0.04,10,15,10,0.0015,1
0.4,50,0.04,10,15,30,0.046,1
0.4,100,0.02,50,10,10,0.1102,1
0.4,100,0.02,50,15,10,0.0174,1
0.4,100,0.02,50,15,30,0.0856,1
0.4,100,0.03,50,0,10,0.0195,1
0.4,100,0.03,50,0,30,0.0911,1
0.4,100,0.03,50,5,10,0.0189,1
0.4,100,0.03,50,10,30,0.0229,1
0.4,100,0.03,50,15,10,0.0948,1
0.4,100,0.04,50,5,30,0.0588,1
0.4,100,0.04,50,10,10,0.065,1
0.4,100,0.04,50,10,30,0.1247,1
0.4,100,0.04,50,15,30,0.0112,1
0.4,150,0.02,50,0,30,0.0189,1
0.4,150,0.02,100,0,10,0.0917,1
0.4,150,0.02,100,0,30,0.0004,1
0.4,150,0.02,100,5,10,0.0508,1
0.4,150,0.02,100,10,30,0.0109,1
0.4,150,0.02,100,15,10,0.0239,1
0.4,150,0.03,50,0,10,0.0452,1
0.4,150,0.03,50,0,30,0.0806,1
0.4,150,0.03,50,5,10,0.0745,1
0.4,150,0.03,50,10,10,0.0211,1
0.4,150,0.03,50,10,30,0.0745,1
0.4,150,0.03,50,15,30,0.002,1
0.4,150,0.03,100,0,10,0.0076,1
0.4,150,0.03,100,5,10,0.0925,1
0.4,150,0.03,100,5,30,0.0437,1
0.4,150,0.03,100,10,10,0.0017,1
0.4,150,0.03,100,10,30,0.1217,1
0.4,150,0.03,100,15,30,0,1
0.4,150,0.04,50,0,10,0.0063,1
0.4,150,0.04,50,5,10,0.0038,1
0.4,150,0.04,50,5,30,0.109,1
0.4,150,0.04,50,10,10,0.0944,1
0.4,150,0.04,50,15,10,0.0709,1
0.4,150,0.04,50,15,30,0.0921,1
0.4,150,0.04,100,0,10,0.1205,1
0.4,150,0.04,100,0,30,0.0409,1
0.4,150,0.04,100,5,10,0.0895,1
0.4,150,0.04,100,5,30,0.0778,1
0.5,50,0.02,10,0,10,0.0151,1
0.5,50,0.02,10,0,30,0.0171,1
0.5,50,0.02,10,5,10,0.0364,1
0.5,50,0.02,10,5,30,0.0839,1
0.5,50,0.02,10,10,10,0.0067,1
0.5,50,0.02,10,10,30,0.004,1
0.5,50,0.03,10,5,10,0.017,1
0.5,50,0.03,10,10,10,0.0001,1
0.5,50,0.03,10,10,30,0.0698,1
0.5,50,0.04,10,0,30,0.0001,1
0.5,50,0.04,10,15,10,0.124,1
0.5,100,0.02,50,5,10,0.0002,1
0.5,100,0.02,50,10,30,0.0023,1
0.5,100,0.02,50,15,10,0.0666,1
0.5,100,0.02,50,15,30,0.0529,1
0.5,100,0.03,50,0,10,0.1126,1
0.5,100,0.03,50,5,30,0.0025,1
0.5,100,0.03,50,15,30,0.0224,1
0.5,100,0.04,50,0,10,0.124,1
0.5,100,0.04,50,0,30,0.0115,1
0.5,100,0.04,50,10,30,0.008,1
0.5,100,0.04,50,15,10,0.0925,1
0.5,150,0.02,50,0,30,0.0024,1
0.5,150,0.02,50,15,30,0.0011,1
0.5,150,0.02,100,5,10,0.0824,1
0.5,150,0.02,100,10,10,0.0187,1
0.5,150,0.02,100,15,30,0.046,1
0.5,150,0.03,50,15,10,0.0567,1
0.5,150,0.03,50,15,30,0.1207,1
0.5,150,0.03,100,0,30,0.0002,1
0.5,150,0.03,100,5,30,0.0436,1
0.5,150,0.03,100,15,10,0.0018,1
0.5,150,0.03,100,15,30,0.122,1
0.5,150,0.04,50,0,30,0.0021,1
0.5,150,0.04,50,5,10,0.0521,1
0.5,150,0.04,50,5,30,0.0805,1
0.5,150,0.04,50,10,30,0.0465,1
0.5,150,0.04,100,10,10,0.0113,1
0.5,150,0.04,100,10,30,0.1223,1
0.6,50,0.04,10,15,10,0.1158,1
0.6,50,0.04,10,15,30,0.103,1
0.6,100,0.02,50,15,10,0.1063,1
0.6,100,0.02,50,15,30,0.106,1
0.6,100,0.03,50,10,30,0.0023,1
0.6,100,0.04,50,15,10,0.0508,1
0.6,150,0.02,100,15,10,0.0578,1
0.6,150,0.03,50,15,10,0,1
0.6,150,0.03,50,15,30,0.0027,1
0.6,150,0.04,100,10,30,0.0097,1
-1,50,0.03,10,5,30,0,0
-1,100,0.02,10,0,10,0,0
-1,100,0.02,10,0,30,0,0
-1,100,0.02,10,5,10,0,0
-1,100,0.02,10,5,30,0,0
-1,100,0.02,10,10,10,0,0
-1,100,0.02,10,10,30,0,0
-1,100,0.02,10,15,10,0,0
-1,100,0.02,10,15,30,0,0
-1,100,0.03,10,0,10,0,0
-1,100,0.03,10,0,30,0,0
-1,100,0.03,10,5,10,0,0
-1,100,0.03,10,5,30,0,0
-1,100,0.03,10,10,10,0,0
-1,100,0.03,10,10,30,0,0
-1,100,0.03,10,15,10,0,0
-1,100,0.03,10,15,30,0,0
-1,100,0.04,10,0,10,0,0
-1,100,0.04,10,0,30,0,0
-1,100,0.04,10,5,10,0,0
-1,100,0.04,10,5,30,0,0
-1,100,0.04,10,10,10,0,0
-1,100,0.04,10,10,30,0,0
-1,100,0.04,10,15,10,0,0
-1,100,0.04,10,15,30,0,0
-1,100,0.04,50,15,10,0,0
-1,150,0.02,10,0,10,0,0
-1,150,0.02,10,0,30,0,0
