fiss,k,leap,score,dates
130,100,0,0.1243,1
140,30,0,0.1778,1
140,30,5,0.19,1
140,30,10,0.1747,1
140,30,15,0.1829,1
140,40,0,0.1849,1
140,40,5,0.0942,1
140,40,15,0.0509,1
140,50,10,0.1928,1
140,50,15,0.0076,1
140,60,10,0.1185,1
140,60,15,0.0028,1
140,70,5,0.0516,1
140,70,10,0.0997,1
140,70,15,0.0037,1
140,80,0,0.1794,1
140,80,5,0.0455,1
140,80,10,0.0616,1
140,90,0,0.1954,1
140,90,5,0.0002,1
140,100,0,0.0627,1
150,30,0,0.1942,1
150,30,5,0.1874,1
150,30,10,0.1892,1
150,30,15,0.1975,1
150,40,0,0.1786,1
150,40,10,0.1165,1
150,40,15,0.1941,1
150,50,0,0.1867,1
150,50,5,0.1819,1
150,50,10,0.1165,1
150,50,15,0.1796,1
150,60,5,0.0464,1
150,60,10,0.107,1
150,70,0,0.1205,1
150,70,5,0.0486,1
150,70,10,0.1034,1
150,70,15,0.0024,1
150,80,0,0.1845,1
150,80,5,0.1147,1
150,80,10,0.0885,1
150,90,0,0.1917,1
150,90,5,0.0336,1
150,90,10,0.0388,1
150,100,0,0.178,1
150,100,5,0.0002,1
50,40,5,0,0
60,30,15,0,0
70,10,0,0,0
70,10,5,0,0
70,10,10,0,0
70,10,15,0,0
70,50,5,0,0
80,10,0,0,0
80,10,5,0,0
80,10,10,0,0
80,10,15,0,0
80,40,15,0,0
80,60,5,0,0
90,10,0,0,0
90,10,5,0,0
90,10,10,0,0
90,10,15,0,0
90,60,5,0,0
90,70,5,0,0
100,10,0,0,0
100,10,5,0,0
100,10,10,0,0
100,10,15,0,0
100,70,5,0,0
100,90,0,0,0
110,10,0,0,0
110,10,5,0,0
110,10,10,0,0
110,10,15,0,0
110,70,5,0,0
120,10,0,0,0
120,10,5,0,0
120,10,10,0,0
120,10,15,0,0
120,50,15,0,0
120,80,5,0,0
120,90,5,0,0
130,10,0,0,0
130,10,5,0,0
130,10,10,0,0
130,10,15,0,0
130,50,15,0,0
130,90,5,0,0
130,100,5,0,0
140,10,0,0,0
140,10,5,0,0
140,10,10,0,0
140,10,15,0,0
140,20,0,0,0
140,20,5,0,0
140,20,10,0,0
140,20,15,0,0
140,50,0,0,0
140,100,5,0,0
150,10,0,0,0
150,10,5,0,0
150,10,10,0,0
150,10,15,0,0
150,20,0,0,0
150,20,5,0,0
150,20,10,0,0
150,20,15,0,0
150,40,5,0,0
150,60,15,0,0
,,,,
Cult: tupi | Start: 2400 | Site: bvista | Veg: 0.5,,,,
