veg,max,fiss,r,k,leap,perm,score,dates
0.4,0.23,150,0.02,50,15,30,0.3794,3
-1,0,150,0.02,100,0,30,0.2557,3
0.4,0,150,0.02,50,0,10,0.2544,3
-1,0,50,0.03,10,5,30,0.2432,3
0.4,0.23,150,0.03,100,5,30,0.2258,3
-1,0,50,0.03,10,0,30,0.2188,3
-1,0,100,0.02,50,5,30,0.213,3
-1,0,100,0.03,50,0,30,0.2118,3
0.4,0,150,0.02,50,5,10,0.1967,3
0.4,0.23,50,0.04,10,15,30,0.1808,3
-1,0,150,0.03,50,0,30,0.1752,3
0.4,0,50,0.03,10,10,30,0.1425,3
0.4,0.23,150,0.02,50,15,10,0.1339,3
0.4,0.23,100,0.04,50,5,30,0.1285,3
-1,0,50,0.02,10,5,10,0.3789,2
-1,0.23,150,0.02,100,5,30,0.2597,2
0.4,0,150,0.02,50,10,30,0.2474,2
-1,0,150,0.02,50,10,30,0.2473,2
-1,0,50,0.02,10,15,10,0.2422,2
-1,0.23,150,0.02,50,5,30,0.2295,2
0.4,0.23,150,0.03,50,10,10,0.2269,2
-1,0.23,100,0.02,50,10,30,0.2143,2
0.4,0,50,0.04,10,5,30,0.1995,2
-1,0.23,150,0.02,50,15,30,0.1962,2
-1,0,150,0.03,50,5,30,0.1924,2
0.4,0,100,0.02,50,10,30,0.1924,2
-1,0,100,0.02,50,0,30,0.1875,2
-1,0.23,150,0.03,50,10,30,0.172,2
0.5,0,150,0.02,100,5,30,0.1615,2
0.4,0,100,0.03,50,5,30,0.1596,2
-1,0,150,0.02,50,0,30,0.1593,2
-1,0,150,0.02,50,5,30,0.1579,2
0.4,0.23,150,0.02,100,5,30,0.1392,2
-1,0,50,0.02,10,0,10,0.1309,2
0.4,0,50,0.02,10,15,30,0.1286,2
-1,0.23,100,0.02,50,0,30,0.1217,2
0.4,0.23,50,0.04,10,10,30,0.1168,2
0.5,0,100,0.02,50,0,10,0.1103,2
-1,0.23,50,0.03,10,15,30,0.1061,2
0.5,0,150,0.02,50,15,10,0.1047,2
0.4,0,50,0.04,10,0,30,0.1046,2
-1,0,150,0.03,100,0,30,0.1016,2
0.4,0.23,150,0.04,50,5,10,0.0829,2
0.4,0,150,0.03,100,0,30,0.0815,2
0.4,0,150,0.03,50,5,30,0.0704,2
0.4,0.23,100,0.03,50,5,10,0.0688,2
0.4,0.23,150,0.04,50,0,10,0.0622,2
0.4,0.23,50,0.03,10,15,30,0.06,2
0.4,0.23,150,0.04,100,0,10,0.0579,2
-1,0,50,0.02,10,15,30,0.0571,2
-1,0.23,50,0.04,10,5,30,0.0549,2
-1,0.23,50,0.03,10,5,30,0.0463,2
0.4,0.23,50,0.04,10,15,10,0.0446,2
0.4,0,100,0.03,50,0,30,0.0444,2
-1,0.23,100,0.02,50,10,10,0.0411,2
-1,0.23,150,0.02,50,0,30,0.0394,2
-1,0.23,150,0.03,100,0,30,0.0393,2
-1,0,50,0.03,10,10,30,0.0389,2
0.5,0,150,0.02,50,10,10,0.0369,2
0.4,0.23,100,0.02,50,10,30,0.0282,2
0.4,0.23,100,0.02,50,15,30,0.0276,2
0.5,0,150,0.03,50,5,30,0.0248,2
0.4,0,50,0.02,10,5,30,0.0217,2
0.4,0.23,150,0.02,100,5,10,0.0195,2
0.4,0,150,0.02,50,5,30,0.0188,2
0.4,0,50,0.02,10,0,30,0.0175,2
-1,0,150,0.02,50,0,10,0.017,2
-1,0.23,50,0.04,10,0,30,0.0129,2
0.5,0,50,0.03,10,0,10,0.0084,2
-1,0,150,0.02,50,5,10,0.0075,2
-1,0.23,50,0.03,10,0,30,0.005,2
0.5,0,50,0.03,10,10,30,0.0008,2
0.5,0,50,0.04,10,5,30,0.0001,2
-1,0,50,0.02,10,10,10,0.1827,1
-1,0,50,0.02,10,10,30,0.0001,1
-1,0,50,0.04,10,0,30,0.0011,1
-1,0,50,0.04,10,5,30,0.0012,1
-1,0,100,0.03,50,5,30,0.0002,1
-1,0,150,0.02,100,5,30,0,1
-1,0.23,50,0.02,10,15,30,0.1802,1
-1,0.23,50,0.03,10,0,10,0.1408,1
-1,0.23,50,0.03,10,5,10,0.0864,1
-1,0.23,50,0.03,10,10,10,0.09,1
-1,0.23,50,0.03,10,10,30,0.0164,1
-1,0.23,50,0.03,10,15,10,0.1681,1
-1,0.23,50,0.04,10,15,30,0.0964,1
-1,0.23,100,0.02,50,0,10,0.0618,1
-1,0.23,100,0.02,50,5,10,0.0095,1
-1,0.23,100,0.02,50,5,30,0.1521,1
-1,0.23,100,0.02,50,15,30,0.0052,1
-1,0.23,100,0.03,50,0,30,0.0159,1
-1,0.23,100,0.03,50,5,10,0.1565,1
-1,0.23,100,0.03,50,5,30,0.1964,1
-1,0.23,100,0.04,50,0,30,0.0564,1
-1,0.23,100,0.04,50,5,10,0.161,1
-1,0.23,100,0.04,50,5,30,0.1279,1
-1,0.23,150,0.02,50,0,10,0.0333,1
-1,0.23,150,0.02,50,5,10,0.0347,1
-1,0.23,150,0.02,50,10,10,0.1997,1
-1,0.23,150,0.02,50,10,30,0.0136,1
-1,0.23,150,0.02,50,15,10,0.0009,1
-1,0.23,150,0.02,100,0,30,0.0598,1
-1,0.23,150,0.02,100,5,10,0.0008,1
-1,0.23,150,0.03,50,0,30,0.1735,1
-1,0.23,150,0.03,50,5,30,0.0001,1
-1,0.23,150,0.03,50,10,10,0.1482,1
-1,0.23,150,0.03,50,15,30,0.0004,1
-1,0.23,150,0.03,100,5,30,0.0043,1
-1,0.23,150,0.04,50,0,30,0.191,1
-1,0.23,150,0.04,50,5,10,0.0034,1
-1,0.23,150,0.04,100,0,10,0.0515,1
0.4,0,50,0.02,10,0,10,0.0302,1
0.4,0,50,0.02,10,5,10,0.0217,1
0.4,0,50,0.02,10,10,10,0.0217,1
0.4,0,50,0.02,10,10,30,0.1478,1
0.4,0,50,0.02,10,15,10,0.1636,1
0.4,0,50,0.03,10,0,10,0.1874,1
0.4,0,50,0.03,10,0,30,0.0001,1
0.4,0,50,0.03,10,5,10,0.1971,1
0.4,0,50,0.03,10,5,30,0.0524,1
0.4,0,50,0.03,10,10,10,0.0887,1
0.4,0,50,0.03,10,15,10,0.0566,1
0.4,0,50,0.03,10,15,30,0.1984,1
0.4,0,50,0.04,10,0,10,0.0688,1
0.4,0,50,0.04,10,5,10,0.06,1
0.4,0,50,0.04,10,10,10,0.0329,1
0.4,0,50,0.04,10,10,30,0.1694,1
0.4,0,50,0.04,10,15,10,0.0132,1
0.4,0,50,0.04,10,15,30,0.0297,1
0.4,0,100,0.02,50,0,10,0.194,1
0.4,0,100,0.02,50,0,30,0.0431,1
0.4,0,100,0.02,50,5,10,0.0692,1
0.4,0,100,0.02,50,5,30,0.157,1
0.4,0,100,0.02,50,10,10,0.0136,1
0.4,0,100,0.02,50,15,30,0.0104,1
0.4,0,100,0.03,50,0,10,0.0152,1
0.4,0,100,0.03,50,5,10,0.0089,1
0.4,0,100,0.03,50,10,30,0.0065,1
0.4,0,100,0.04,50,0,30,0.064,1
0.4,0,100,0.04,50,5,30,0.0406,1
0.4,0,150,0.02,50,0,30,0.02,1
0.4,0,150,0.02,50,10,10,0.187,1
0.4,0,150,0.02,50,15,10,0.0615,1
0.4,0,150,0.02,50,15,30,0.0613,1
0.4,0,150,0.02,100,0,10,0.0297,1
0.4,0,150,0.02,100,0,30,0.1273,1
0.4,0,150,0.02,100,5,10,0.0006,1
0.4,0,150,0.02,100,5,30,0.1841,1
0.4,0,150,0.03,50,0,10,0.0487,1
0.4,0,150,0.03,50,0,30,0.1366,1
0.4,0,150,0.03,50,5,10,0.0164,1
0.4,0,150,0.03,50,10,10,0.0129,1
0.4,0,150,0.03,50,10,30,0.0446,1
0.4,0,150,0.03,100,5,30,0.0126,1
0.4,0,150,0.04,50,0,10,0.0022,1
0.4,0,150,0.04,50,0,30,0.1755,1
0.4,0,150,0.04,50,5,10,0.0006,1
0.4,0,150,0.04,50,5,30,0.0433,1
0.4,0,150,0.04,100,0,30,0.0168,1
0.4,0.23,50,0.02,10,15,10,0.1409,1
0.4,0.23,100,0.02,50,10,10,0.024,1
0.4,0.23,100,0.03,50,10,30,0.0033,1
0.4,0.23,100,0.04,50,0,10,0.0082,1
0.4,0.23,100,0.04,50,5,10,0.0027,1
0.4,0.23,150,0.03,50,10,30,0.0188,1
0.4,0.23,150,0.03,50,15,10,0.004,1
0.4,0.23,150,0.03,50,15,30,0,1
0.4,0.23,150,0.03,100,0,10,0.0123,1
0.4,0.23,150,0.04,50,5,30,0.0997,1
0.4,0.23,150,0.04,100,0,30,0.1038,1
0.5,0,50,0.02,10,0,10,0.0062,1
0.5,0,50,0.02,10,0,30,0.0712,1
0.5,0,50,0.02,10,5,10,0.005,1
0.5,0,50,0.02,10,5,30,0.1698,1
0.5,0,50,0.02,10,10,30,0.007,1
0.5,0,50,0.03,10,5,10,0.0002,1
0.5,0,50,0.03,10,10,10,0.0012,1
0.5,0,50,0.03,10,15,10,0.1569,1
0.5,0,50,0.03,10,15,30,0.0743,1
0.5,0,50,0.04,10,5,10,0.0042,1
0.5,0,50,0.04,10,10,10,0.0002,1
0.5,0,50,0.04,10,15,30,0.0079,1
0.5,0,100,0.02,50,5,10,0.0032,1
0.5,0,100,0.02,50,10,10,0.1994,1
0.5,0,100,0.02,50,10,30,0.0003,1
0.5,0,100,0.02,50,15,30,0.1051,1
0.5,0,100,0.03,50,0,10,0.0792,1
0.5,0,100,0.03,50,5,10,0.0101,1
0.5,0,100,0.03,50,5,30,0.0009,1
0.5,0,100,0.03,50,10,30,0.0006,1
0.5,0,100,0.04,50,5,30,0.1904,1
0.5,0,150,0.02,50,0,10,0.0001,1
0.5,0,150,0.02,50,15,30,0.0438,1
0.5,0,150,0.02,100,5,10,0.191,1
0.5,0,150,0.02,100,10,30,0.0008,1
0.5,0,150,0.03,50,0,10,0.0579,1
0.5,0,150,0.03,50,5,10,0.0418,1
0.5,0,150,0.03,50,10,30,0.0319,1
0.5,0,150,0.03,100,0,30,0.0001,1
0.5,0,150,0.03,100,5,30,0.0864,1
0.5,0,150,0.04,50,0,10,0.0027,1
0.5,0,150,0.04,50,0,30,0.0011,1
0.5,0,150,0.04,100,0,30,0.0207,1
0.6,0,50,0.04,10,15,30,0.1043,1
0.6,0,100,0.02,50,15,10,0.0215,1
0.6,0,100,0.02,50,15,30,0.0677,1
0.6,0,100,0.04,50,15,10,0.0603,1
0.6,0,150,0.03,100,15,10,0.0889,1
-1,0,50,0.02,10,0,30,0,0
-1,0,50,0.02,10,5,30,0,0
-1,0,50,0.03,10,0,10,0,0
-1,0,50,0.03,10,5,10,0,0
-1,0,50,0.03,10,10,10,0,0
-1,0,50,0.03,10,15,10,0,0
-1,0,50,0.03,10,15,30,0,0
-1,0,50,0.04,10,0,10,0,0
-1,0,50,0.04,10,5,10,0,0
-1,0,50,0.04,10,10,10,0,0
-1,0,50,0.04,10,10,30,0,0
-1,0,50,0.04,10,15,10,0,0
-1,0,50,0.04,10,15,30,0,0
-1,0,100,0.02,10,0,10,0,0
-1,0,100,0.02,10,0,30,0,0
-1,0,100,0.02,10,5,10,0,0
-1,0,100,0.02,10,5,30,0,0
-1,0,100,0.02,10,10,10,0,0
-1,0,100,0.02,10,10,30,0,0
-1,0,100,0.02,10,15,10,0,0
-1,0,100,0.02,10,15,30,0,0
-1,0,100,0.02,50,0,10,0,0
-1,0,100,0.02,50,5,10,0,0
-1,0,100,0.02,50,10,10,0,0
-1,0,100,0.02,50,10,30,0,0
-1,0,100,0.02,50,15,10,0,0
-1,0,100,0.02,50,15,30,0,0
-1,0,100,0.03,10,0,10,0,0
