veg,max,fiss,r,k,leap,perm,score,dates
0.5,0,150,0.03,50,5,30,0,1
0.5,0,150,0.03,50,10,20,0.036,1
0.5,0,150,0.03,50,15,10,0.0042,1
0.5,0,150,0.03,100,0,30,0,1
0.5,0,150,0.03,100,5,10,0.001,1
0.5,0,150,0.03,100,5,30,0.1424,1
0.5,0,150,0.03,100,10,10,0.0129,1
0.5,0,150,0.03,100,10,20,0.0053,1
0.5,0,150,0.03,100,10,30,0.0153,1
0.5,0,150,0.04,50,0,20,0.1285,1
0.5,0,150,0.04,50,0,30,0.002,1
0.5,0,150,0.04,50,5,20,0.138,1
0.5,0,150,0.04,50,5,30,0.1128,1
0.5,0,150,0.04,50,10,10,0.0051,1
0.5,0,150,0.04,50,15,10,0.0053,1
0.5,0,150,0.04,50,15,20,0.0068,1
0.5,0,150,0.04,50,15,30,0.008,1
0.5,0,150,0.04,100,5,10,0.0066,1
0.5,0,150,0.04,100,5,30,0.0001,1
0.5,0.23,100,0.04,50,15,20,0.0079,1
0.5,0.23,100,0.04,50,15,30,0.0015,1
0.5,0.23,150,0.03,100,15,20,0.0135,1
0.5,0.23,150,0.03,100,15,30,0.0129,1
0.5,0.23,150,0.04,100,10,10,0.0161,1
0.6,0,100,0.04,50,15,10,0.0616,1
0.6,0,100,0.04,50,15,20,0.1373,1
0.6,0,100,0.04,50,15,30,0.1373,1
0.6,0,150,0.03,100,10,10,0.0179,1
0.6,0,150,0.03,100,15,10,0.1262,1
0.6,0,150,0.03,100,15,20,0.0011,1
0.6,0,150,0.03,100,15,30,0.0009,1
0.6,0,150,0.04,100,5,10,0.0023,1
0.6,0,150,0.04,100,10,20,0.0662,1
0.6,0,150,0.04,100,10,30,0.0164,1
-1,0,50,0.02,10,10,30,0,0
-1,0,50,0.02,10,15,10,0,0
-1,0,50,0.03,10,0,10,0,0
-1,0,50,0.03,10,0,20,0,0
-1,0,50,0.03,10,0,30,0,0
-1,0,50,0.03,10,5,10,0,0
-1,0,50,0.03,10,5,20,0,0
-1,0,50,0.03,10,5,30,0,0
-1,0,50,0.03,10,10,10,0,0
-1,0,50,0.03,10,10,20,0,0
-1,0,50,0.03,10,10,30,0,0
-1,0,50,0.03,10,15,10,0,0
-1,0,50,0.03,10,15,20,0,0
-1,0,50,0.03,10,15,30,0,0
-1,0,50,0.04,10,0,10,0,0
-1,0,50,0.04,10,0,20,0,0
-1,0,50,0.04,10,0,30,0,0
-1,0,50,0.04,10,5,10,0,0
-1,0,50,0.04,10,5,20,0,0
-1,0,50,0.04,10,5,30,0,0
-1,0,50,0.04,10,10,10,0,0
-1,0,50,0.04,10,10,20,0,0
-1,0,50,0.04,10,10,30,0,0
-1,0,50,0.04,10,15,10,0,0
-1,0,50,0.04,10,15,20,0,0
-1,0,50,0.04,10,15,30,0,0
-1,0,100,0.02,10,0,10,0,0
-1,0,100,0.02,10,0,20,0,0
-1,0,100,0.02,10,0,30,0,0
-1,0,100,0.02,10,5,10,0,0
-1,0,100,0.02,10,5,20,0,0
-1,0,100,0.02,10,5,30,0,0
-1,0,100,0.02,10,10,10,0,0
-1,0,100,0.02,10,10,20,0,0
-1,0,100,0.02,10,10,30,0,0
-1,0,100,0.02,10,15,10,0,0
-1,0,100,0.02,10,15,20,0,0
-1,0,100,0.02,10,15,30,0,0
-1,0,100,0.02,50,0,10,0,0
-1,0,100,0.02,50,0,20,0,0
-1,0,100,0.02,50,0,30,0,0
-1,0,100,0.02,50,5,10,0,0
-1,0,100,0.02,50,5,20,0,0
-1,0,100,0.02,50,5,30,0,0
-1,0,100,0.02,50,10,10,0,0
-1,0,100,0.02,50,10,20,0,0
-1,0,100,0.02,50,10,30,0,0
-1,0,100,0.02,50,15,10,0,0
-1,0,100,0.02,50,15,20,0,0
-1,0,100,0.02,50,15,30,0,0
-1,0,100,0.03,10,0,10,0,0
-1,0,100,0.03,10,0,20,0,0
-1,0,100,0.03,10,0,30,0,0
-1,0,100,0.03,10,5,10,0,0
-1,0,100,0.03,10,5,20,0,0
-1,0,100,0.03,10,5,30,0,0
-1,0,100,0.03,10,10,10,0,0
-1,0,100,0.03,10,10,20,0,0
-1,0,100,0.03,10,10,30,0,0
-1,0,100,0.03,10,15,10,0,0
-1,0,100,0.03,10,15,20,0,0
-1,0,100,0.03,10,15,30,0,0
-1,0,100,0.03,50,0,10,0,0
