veg,fiss,r,k,leap,score,dates
0.4,150,0.04,10,10,0.0,0
0.4,150,0.04,10,15,0.0,0
0.4,150,0.04,50,0,0.009,1
0.4,150,0.04,50,5,0.0003,1
0.4,150,0.04,50,10,0.0,0
0.4,150,0.04,50,15,0.0,0
0.4,150,0.04,100,0,0.0,0
0.4,150,0.04,100,5,0.0,0
0.4,150,0.04,100,10,0.0,0
0.4,150,0.04,100,15,0.0,0
0.5,50,0.02,10,0,0.0509,1
0.5,50,0.02,10,5,0.0031,1
0.5,50,0.02,10,10,0.003,1
0.5,50,0.02,10,15,0.0014,1
0.5,50,0.03,10,0,0.0002,1
0.5,50,0.03,10,5,0.0004,1
0.5,50,0.03,10,10,0.0512,1
0.5,50,0.03,10,15,0.0963,2
0.5,50,0.04,10,0,0.0159,2
0.5,50,0.04,10,5,0.1516,2
0.5,50,0.04,10,10,0.0192,2
0.5,50,0.04,10,15,0.0208,2
0.5,100,0.02,10,0,0.0,0
0.5,100,0.02,10,5,0.0,0
0.5,100,0.02,10,10,0.0,0
0.5,100,0.02,10,15,0.0,0
0.5,100,0.02,50,0,0.0011,1
0.5,100,0.02,50,5,0.0444,1
0.5,100,0.02,50,10,0.1988,2
0.5,100,0.02,50,15,0.0157,1
0.5,100,0.03,10,0,0.0,0
0.5,100,0.03,10,5,0.0,0
0.5,100,0.03,10,10,0.0,0
0.5,100,0.03,10,15,0.0,0
0.5,100,0.03,50,0,0.2004,2
0.5,100,0.03,50,5,0.1341,2
0.5,100,0.03,50,10,0.0079,2
0.5,100,0.03,50,15,0.1547,2
0.5,100,0.04,10,0,0.0,0
0.5,100,0.04,10,5,0.0,0
0.5,100,0.04,10,10,0.0,0
0.5,100,0.04,10,15,0.0,0
0.5,100,0.04,50,0,0.0272,1
0.5,100,0.04,50,5,0.0269,2
0.5,100,0.04,50,10,0.1527,2
0.5,100,0.04,50,15,0.0,0
0.5,150,0.02,10,0,0.0,0
0.5,150,0.02,10,5,0.0,0
0.5,150,0.02,10,10,0.0,0
0.5,150,0.02,10,15,0.0,0
0.5,150,0.02,50,0,0.0991,1
0.5,150,0.02,50,5,0.1148,2
0.5,150,0.02,50,10,0.0139,1
0.5,150,0.02,50,15,0.0563,1
0.5,150,0.02,100,0,0.0031,1
0.5,150,0.02,100,5,0.0833,1
0.5,150,0.02,100,10,0.0548,1
0.5,150,0.02,100,15,0.0073,1
0.5,150,0.03,10,0,0.0,0
0.5,150,0.03,10,5,0.0,0
0.5,150,0.03,10,10,0.0,0
0.5,150,0.03,10,15,0.0,0
0.5,150,0.03,50,0,0.0172,2
0.5,150,0.03,50,5,0.0138,3
0.5,150,0.03,50,10,0.0232,2
0.5,150,0.03,50,15,0.0028,1
0.5,150,0.03,100,0,0.124,1
0.5,150,0.03,100,5,0.0147,1
0.5,150,0.03,100,10,0.0016,1
0.5,150,0.03,100,15,0.0,0
0.5,150,0.04,10,0,0.0,0
0.5,150,0.04,10,5,0.0,0
0.5,150,0.04,10,10,0.0,0
0.5,150,0.04,10,15,0.0,0
0.5,150,0.04,50,0,0.0598,1
0.5,150,0.04,50,5,0.0474,1
0.5,150,0.04,50,10,0.0082,2
0.5,150,0.04,50,15,0.1205,1
0.5,150,0.04,100,0,0.0071,1
0.5,150,0.04,100,5,0.014,2
0.5,150,0.04,100,10,0.0,0
0.5,150,0.04,100,15,0.0,0
0.6,50,0.02,10,0,0.0,0
0.6,50,0.02,10,5,0.0,0
0.6,50,0.02,10,10,0.0,0
0.6,50,0.02,10,15,0.0,0
0.6,50,0.03,10,0,0.0,0
0.6,50,0.03,10,5,0.0,0
0.6,50,0.03,10,10,0.0,0
0.6,50,0.03,10,15,0.0,0
0.6,50,0.04,10,0,0.0,0
0.6,50,0.04,10,5,0.0,0
0.6,50,0.04,10,10,0.0,0
0.6,50,0.04,10,15,0.0,0
0.6,100,0.02,10,0,0.0,0
0.6,100,0.02,10,5,0.0,0
0.6,100,0.02,10,10,0.0,0
0.6,100,0.02,10,15,0.0,0
0.6,100,0.02,50,0,0.0,0
0.6,100,0.02,50,5,0.0,0
0.6,100,0.02,50,10,0.0,0
0.6,100,0.02,50,15,0.1231,1
0.6,100,0.03,10,0,0.0,0
0.6,100,0.03,10,5,0.0,0
0.6,100,0.03,10,10,0.0,0
0.6,100,0.03,10,15,0.0,0
0.6,100,0.03,50,0,0.0,0
0.6,100,0.03,50,5,0.0,0
0.6,100,0.03,50,10,0.0,0
0.6,100,0.03,50,15,0.0,0
0.6,100,0.04,10,0,0.0,0
0.6,100,0.04,10,5,0.0,0
0.6,100,0.04,10,10,0.0,0
0.6,100,0.04,10,15,0.0,0
0.6,100,0.04,50,0,0.0,0
0.6,100,0.04,50,5,0.0,0
0.6,100,0.04,50,10,0.1081,2
0.6,100,0.04,50,15,0.0438,2
0.6,150,0.02,10,0,0.0,0
0.6,150,0.02,10,5,0.0,0
0.6,150,0.02,10,10,0.0,0
0.6,150,0.02,10,15,0.0,0
0.6,150,0.02,50,0,0.0,0
0.6,150,0.02,50,5,0.0,0
0.6,150,0.02,50,10,0.0,0
0.6,150,0.02,50,15,0.0,0
0.6,150,0.02,100,0,0.0,0
0.6,150,0.02,100,5,0.0,0
0.6,150,0.02,100,10,0.0,0
0.6,150,0.02,100,15,0.0025,1
0.6,150,0.03,10,0,0.0,0
0.6,150,0.03,10,5,0.0,0
0.6,150,0.03,10,10,0.0,0
0.6,150,0.03,10,15,0.0,0
0.6,150,0.03,50,0,0.0,0
0.6,150,0.03,50,5,0.0,0
0.6,150,0.03,50,10,0.0,0
0.6,150,0.03,50,15,0.0,0
0.6,150,0.03,100,0,0.0,0
0.6,150,0.03,100,5,0.0,0
0.6,150,0.03,100,10,0.2099,2
0.6,150,0.03,100,15,0.0696,2
0.6,150,0.04,10,0,0.0,0
0.6,150,0.04,10,5,0.0,0
0.6,150,0.04,10,10,0.0,0
0.6,150,0.04,10,15,0.0,0
0.6,150,0.04,50,0,0.0,0
0.6,150,0.04,50,5,0.0,0
0.6,150,0.04,50,10,0.0,0
0.6,150,0.04,50,15,0.0,0
0.6,150,0.04,100,0,0.0,0
0.6,150,0.04,100,5,0.1081,1
0.6,150,0.04,100,10,0.0834,2
0.6,150,0.04,100,15,0.0,0

Cult: tupi | Start: 5800 | Site: urupa
