veg,max,fiss,r,k,leap,perm,score,dates
0.4,0.23,100,0.04,50,5,30,0.196,5
0.4,0.23,150,0.02,50,15,10,0.1965,5
-1,0.23,100,0.02,50,10,30,0.3192,4
-1,0.23,150,0.02,50,15,30,0.1103,4
0.4,0,150,0.04,50,0,30,0.2016,4
0.4,0.05,100,0.02,50,0,10,0.1778,4
0.4,0.11,50,0.02,10,15,10,0.1138,4
0.4,0.11,150,0.03,50,0,20,0.1881,4
0.4,0.23,100,0.02,50,10,20,0.3142,4
0.4,0.23,150,0.02,100,5,10,0.1424,4
0.4,0.23,150,0.03,100,5,30,0.1511,4
-1,0,50,0.02,10,15,10,0.2656,3
-1,0,50,0.02,10,15,20,0.1693,3
-1,0,50,0.03,10,0,20,0.1948,3
-1,0,50,0.03,10,0,30,0.2553,3
-1,0,50,0.03,10,5,20,0.1523,3
-1,0,100,0.02,50,0,20,0.24,3
-1,0,100,0.02,50,0,30,0.2014,3
-1,0,100,0.02,50,5,20,0.2236,3
-1,0,100,0.02,50,5,30,0.2004,3
-1,0,100,0.02,50,10,30,0.1378,3
-1,0,100,0.03,50,0,30,0.2277,3
-1,0,100,0.03,50,5,30,0.0359,3
-1,0,150,0.02,50,0,10,0.1203,3
-1,0,150,0.02,50,0,20,0.2011,3
-1,0,150,0.02,50,5,10,0.08,3
-1,0,150,0.02,50,5,30,0.1425,3
-1,0,150,0.02,50,10,20,0.1776,3
-1,0,150,0.02,50,10,30,0.253,3
-1,0,150,0.02,100,0,20,0.2386,3
-1,0,150,0.02,100,0,30,0.2265,3
-1,0,150,0.02,100,5,30,0.0682,3
-1,0,150,0.03,50,0,30,0.2086,3
-1,0,150,0.03,50,5,30,0.2126,3
-1,0,150,0.03,100,0,30,0.2258,3
-1,0.05,50,0.02,10,15,10,0.204,3
-1,0.05,50,0.03,10,0,20,0.1943,3
-1,0.05,50,0.03,10,5,20,0.1836,3
-1,0.05,50,0.04,10,5,30,0.0466,3
-1,0.05,100,0.02,50,0,20,0.2081,3
-1,0.05,100,0.02,50,0,30,0.1539,3
-1,0.05,100,0.02,50,5,20,0.2221,3
-1,0.05,100,0.03,50,0,30,0.237,3
-1,0.05,100,0.03,50,5,30,0.0341,3
-1,0.05,150,0.02,50,0,10,0.082,3
-1,0.05,150,0.02,50,0,20,0.1835,3
-1,0.05,150,0.02,50,5,10,0.0625,3
-1,0.05,150,0.02,50,5,20,0.1584,3
-1,0.05,150,0.02,50,10,20,0.1736,3
-1,0.05,150,0.02,50,10,30,0.2988,3
-1,0.05,150,0.02,100,0,20,0.2369,3
-1,0.05,150,0.02,100,0,30,0.2147,3
-1,0.05,150,0.02,100,5,30,0.0535,3
-1,0.05,150,0.03,50,0,30,0.192,3
-1,0.05,150,0.03,50,5,30,0.2107,3
-1,0.05,150,0.03,100,0,30,0.2258,3
-1,0.11,50,0.02,10,10,10,0.0099,3
-1,0.11,50,0.02,10,15,30,0.08,3
-1,0.11,50,0.03,10,0,20,0.324,3
-1,0.11,50,0.03,10,0,30,0.1314,3
-1,0.11,50,0.03,10,5,20,0.2538,3
-1,0.11,50,0.03,10,5,30,0.1325,3
-1,0.11,50,0.03,10,10,30,0.1022,3
-1,0.11,50,0.04,10,0,30,0.2615,3
-1,0.11,50,0.04,10,5,30,0.0665,3
-1,0.11,100,0.02,50,0,30,0.1006,3
-1,0.11,100,0.02,50,5,20,0.3097,3
-1,0.11,100,0.02,50,5,30,0.2119,3
-1,0.11,100,0.03,50,0,30,0.2974,3
-1,0.11,100,0.03,50,5,30,0.0402,3
-1,0.11,150,0.02,50,0,10,0.2316,3
-1,0.11,150,0.02,50,0,20,0.0773,3
-1,0.11,150,0.02,50,5,10,0.1237,3
-1,0.11,150,0.02,50,5,20,0.2233,3
-1,0.11,150,0.02,50,10,20,0.2045,3
-1,0.11,150,0.02,50,10,30,0.2157,3
-1,0.11,150,0.02,100,0,20,0.2396,3
-1,0.11,150,0.02,100,0,30,0.1534,3
-1,0.11,150,0.02,100,5,30,0.0303,3
-1,0.11,150,0.03,50,0,30,0.243,3
-1,0.11,150,0.03,50,5,30,0.276,3
-1,0.11,150,0.03,100,0,30,0.2122,3
-1,0.23,50,0.04,10,15,30,0.1281,3
-1,0.23,100,0.02,50,5,10,0.163,3
-1,0.23,100,0.03,50,5,30,0.3221,3
-1,0.23,150,0.02,50,10,10,0.1171,3
-1,0.23,150,0.02,50,10,20,0.2608,3
-1,0.23,150,0.02,50,15,10,0.1523,3
-1,0.23,150,0.02,50,15,20,0.134,3
-1,0.23,150,0.02,100,5,20,0.0153,3
-1,0.23,150,0.02,100,5,30,0.3186,3
0.4,0,50,0.02,10,15,20,0.3296,3
0.4,0,50,0.03,10,10,20,0.0085,3
