fiss,k,leap,score,dates
50,25,0,0.0646,2
50,25,15,0.1837,4
50,25,20,0.1895,5
50,25,25,0.1534,4
50,25,30,0.1263,3
50,50,0,0.0,0
50,50,15,0.0023,1
50,50,20,0.0005,1
50,50,25,0.0003,1
50,50,30,0.0,0
50,75,0,0.0,0
50,75,15,0.0,1
50,75,20,0.0,0
50,75,25,0.0003,1
50,75,30,0.0,0
50,100,0,0.0002,1
50,100,15,0.0,1
50,100,20,0.0,0
50,100,25,0.0003,1
50,100,30,0.0,0
75,25,0,0.0126,1
75,25,15,0.0259,1
75,25,20,0.1933,3
75,25,25,0.2206,5
75,25,30,0.2461,5
75,50,0,0.0907,2
75,50,15,0.1253,3
75,50,20,0.0041,1
75,50,25,0.0048,2
75,50,30,0.0003,1
75,75,0,0.0005,1
75,75,15,0.0101,1
75,75,20,0.002,1
75,75,25,0.0011,1
75,75,30,0.0005,1
75,100,0,0.0,0
75,100,15,0.0076,1
75,100,20,0.0023,1
75,100,25,0.0013,1
75,100,30,0.0009,2
100,25,0,0.008,1
100,25,15,0.0,0
100,25,20,0.0941,2
100,25,25,0.323,5
100,25,30,0.2036,5
100,50,0,0.0384,1
100,50,15,0.107,3
100,50,20,0.1998,4
100,50,25,0.23,5
100,50,30,0.1962,5
100,75,0,0.0555,3
100,75,15,0.0702,1
100,75,20,0.0046,1
100,75,25,0.005,2
100,75,30,0.0004,1
100,100,0,0.0001,1
100,100,15,0.0081,1
100,100,20,0.002,1
100,100,25,0.0012,1
100,100,30,0.0004,2
125,25,0,0.0077,1
125,25,15,0.0101,1
125,25,20,0.192,3
125,25,25,0.2198,4
125,25,30,0.1878,5
125,50,0,0.0891,1
125,50,15,0.1905,3
125,50,20,0.144,5
125,50,25,0.2418,5
125,50,30,0.1253,4
125,75,0,0.0509,2
125,75,15,0.1322,3
125,75,20,0.0046,1
125,75,25,0.0022,2
125,75,30,0.0007,2
125,100,0,0.0138,1
125,100,15,0.0049,1
125,100,20,0.0,1
125,100,25,0.0009,2
125,100,30,0.0,0
150,25,0,0.0014,1
150,25,15,0.0,0
150,25,20,0.0655,2
150,25,25,0.1497,2
150,25,30,0.2118,5
150,50,0,0.0549,1
150,50,15,0.0581,2
150,50,20,0.2124,4
150,50,25,0.1763,5
150,50,30,0.2337,5
150,75,0,0.0768,1
150,75,15,0.293,4
150,75,20,0.1647,5
150,75,25,0.2629,5
150,75,30,0.1457,4
150,100,0,0.0996,3
150,100,15,0.1373,2
150,100,20,0.0019,1
150,100,25,0.0023,1
150,100,30,0.001,2

Cult: arawak | Start: 4100 | Site: latia | Veg: 0.5
