fiss,k,leap,score,dates
50,25,0,0.0686,2
50,25,15,0.0,0
50,25,20,0.0,0
50,25,25,0.0,0
50,25,30,0.0,0
50,50,0,0.0013,1
50,50,15,0.0,0
50,50,20,0.0,0
50,50,25,0.0,0
50,50,30,0.0,0
50,75,0,0.0005,1
50,75,15,0.0,0
50,75,20,0.0,0
50,75,25,0.0,0
50,75,30,0.0,0
50,100,0,0.0276,1
50,100,15,0.0,0
50,100,20,0.0,0
50,100,25,0.0,0
50,100,30,0.0,0
75,25,0,0.0434,4
75,25,15,0.0,0
75,25,20,0.0,0
75,25,25,0.0,0
75,25,30,0.0,0
75,50,0,0.0205,2
75,50,15,0.0,0
75,50,20,0.0,0
75,50,25,0.0,0
75,50,30,0.0,0
75,75,0,0.0437,1
75,75,15,0.0,0
75,75,20,0.0,0
75,75,25,0.0,0
75,75,30,0.0,0
75,100,0,0.0168,1
75,100,15,0.0,0
75,100,20,0.0,0
75,100,25,0.0,0
75,100,30,0.0,0
100,25,0,0.0476,3
100,25,15,0.0,0
100,25,20,0.0,0
100,25,25,0.0,0
100,25,30,0.0,0
100,50,0,0.1127,4
100,50,15,0.0,0
100,50,20,0.0,0
100,50,25,0.0,0
100,50,30,0.0,0
100,75,0,0.0637,1
100,75,15,0.0,0
100,75,20,0.0,0
100,75,25,0.0,0
100,75,30,0.0,0
100,100,0,0.0029,1
100,100,15,0.0,0
100,100,20,0.0,0
100,100,25,0.0,0
100,100,30,0.0,0
125,25,0,0.0529,3
125,25,15,0.0,0
125,25,20,0.0,0
125,25,25,0.0,0
125,25,30,0.0,0
125,50,0,0.1002,3
125,50,15,0.0,0
125,50,20,0.0,0
125,50,25,0.0,0
125,50,30,0.0,0
125,75,0,0.0332,2
125,75,15,0.0,0
125,75,20,0.0,0
125,75,25,0.0,0
125,75,30,0.0,0
125,100,0,0.0465,1
125,100,15,0.0,0
125,100,20,0.0,0
125,100,25,0.0,0
125,100,30,0.0,0
150,25,0,0.0325,3
150,25,15,0.0,0
150,25,20,0.0,0
150,25,25,0.0,0
150,25,30,0.0,0
150,50,0,0.1011,5
150,50,15,0.0,0
150,50,20,0.0,0
150,50,25,0.0,0
150,50,30,0.0,0
150,75,0,0.1192,3
150,75,15,0.0,0
150,75,20,0.0,0
150,75,25,0.0,0
150,75,30,0.0,0
150,100,0,0.0727,2
150,100,15,0.0,0
150,100,20,0.0,0
150,100,25,0.0,0
150,100,30,0.0,0

Cult: tupi | Start: 4400 | Site: encontro | Veg: 0.0
