fiss,k,leap,score,dates
100,25,25,0.3048,5
75,25,25,0.2988,5
125,25,25,0.2928,5
100,25,30,0.2632,5
125,25,30,0.2537,5
150,25,30,0.2493,5
150,50,25,0.2491,5
150,75,20,0.2456,5
125,50,20,0.2446,5
50,25,20,0.2369,5
50,25,15,0.2343,5
100,50,20,0.2299,5
75,25,30,0.2072,5
100,50,25,0.1875,5
150,75,25,0.1763,5
125,50,25,0.1684,5
150,50,30,0.1651,5
100,50,30,0.1461,5
50,25,25,0.0853,4
75,25,20,0.1878,4
75,50,15,0.0881,4
100,25,20,0.0932,4
100,50,15,0.1627,4
125,25,20,0.1441,4
125,50,15,0.2136,4
125,50,30,0.0618,4
125,75,15,0.1264,4
150,25,25,0.1992,4
150,50,20,0.2239,4
150,75,15,0.2185,4
150,75,30,0.0854,4
50,25,30,0.0324,3
75,50,20,0.0172,3
75,75,15,0.0283,3
75,100,15,0.0228,3
75,100,20,0.0038,3
100,75,15,0.1034,3
100,100,15,0.0282,3
125,25,15,0.0227,3
125,75,20,0.028,3
125,100,15,0.0281,3
150,25,20,0.0274,3
150,50,15,0.064,3
150,100,0,0.0917,3
150,100,15,0.0941,3
50,25,0,0.0205,2
50,50,15,0.006,2
50,50,20,0.0009,2
50,75,15,0.0036,2
50,100,15,0.004,2
75,25,15,0.0276,2
75,50,0,0.084,2
75,50,25,0.0035,2
75,75,20,0.0042,2
75,75,25,0.0004,2
100,25,15,0.001,2
100,75,0,0.0593,2
100,75,20,0.0105,2
100,75,25,0.0016,2
100,100,20,0.0041,2
100,100,25,0.0004,2
125,75,0,0.0108,2
125,75,25,0.0026,2
125,100,20,0.0018,2
125,100,25,0.0007,2
150,100,20,0.0077,2
50,50,25,0,1
50,75,0,0.0002,1
50,75,20,0.0007,1
50,100,0,0.0001,1
50,100,20,0.0006,1
75,25,0,0.0549,1
75,50,30,0.0004,1
75,75,0,0.0006,1
75,100,0,0.0011,1
75,100,25,0.0003,1
75,100,30,0.0001,1
100,25,0,0.0289,1
100,50,0,0.0909,1
100,75,30,0.0003,1
100,100,0,0.0008,1
125,25,0,0.0279,1
125,50,0,0.0537,1
125,75,30,0.0004,1
125,100,0,0.0131,1
150,25,0,0.0079,1
150,50,0,0.0479,1
150,75,0,0.0693,1
150,100,25,0.0009,1
150,100,30,0.0005,1
50,50,0,0,0
50,50,30,0,0
50,75,25,0,0
50,75,30,0,0
50,100,25,0,0
50,100,30,0,0
75,75,30,0,0
100,100,30,0,0
125,100,30,0,0
150,25,15,0,0
,,,,
Cult: arawak | Start: 4100 | Site: latia | Veg: 0.0,,,,
