fiss,k,leap,score,dates
50,10,0,0.0442,1
50,10,5,0.0006,1
50,10,10,0.0034,1
50,10,15,0.0034,1
50,20,0,0.0,0
50,20,5,0.0,0
50,20,10,0.1978,1
50,20,15,0.1011,1
50,30,0,0.0434,1
50,30,5,0.1205,1
50,30,10,0.0498,2
50,30,15,0.3752,2
50,40,0,0.1987,1
50,40,5,0.0,0
50,40,10,0.2677,2
50,40,15,0.3615,3
60,10,0,0.1599,1
60,10,5,0.1885,1
60,10,10,0.0,0
60,10,15,0.0609,1
60,20,0,0.0419,1
60,20,5,0.051,1
60,20,10,0.0024,1
60,20,15,0.0,0
60,30,0,0.0,0
60,30,5,0.0,0
60,30,10,0.0768,1
60,30,15,0.1927,1
60,40,0,0.0494,1
60,40,5,0.1885,1
60,40,10,0.0146,1
60,40,15,0.2515,2
60,50,0,0.1988,1
60,50,5,0.1072,1
60,50,10,0.0766,2
60,50,15,0.3732,2
70,10,0,0.0,0
70,10,5,0.0,0
70,10,10,0.0,0
70,10,15,0.0,0
70,20,0,0.001,1
70,20,5,0.0025,1
70,20,10,0.0001,1
70,20,15,0.0,0
70,30,0,0.0005,1
70,30,5,0.0,0
70,30,10,0.0518,1
70,30,15,0.1928,1
70,40,0,0.0,0
70,40,5,0.0446,1
70,40,10,0.0018,1
70,40,15,0.1245,2
70,50,0,0.0434,1
70,50,5,0.0331,1
70,50,10,0.0936,2
70,50,15,0.3167,2
70,60,0,0.1796,1
70,60,5,0.002,1
70,60,10,0.0857,2
70,60,15,0.3883,2
80,10,0,0.0,0
80,10,5,0.0,0
80,10,10,0.0,0
80,10,15,0.0,0
80,20,0,0.183,1
80,20,5,0.0005,1
80,20,10,0.0595,1
80,20,15,0.0017,1
80,30,0,0.0021,1
80,30,5,0.0,0
80,30,10,0.0,0
80,30,15,0.1956,1
80,40,0,0.0,0
80,40,5,0.0,0
80,40,10,0.0358,1
80,40,15,0.1969,1
80,50,0,0.0358,1
80,50,5,0.1816,1
80,50,10,0.0288,1
80,50,15,0.2499,2
80,60,0,0.1978,1
80,60,5,0.1147,1
80,60,10,0.0709,2
80,60,15,0.3393,2
80,70,0,0.1783,1
80,70,5,0.0027,1
80,70,10,0.0925,2
80,70,15,0.3921,2
90,10,0,0.0,0
90,10,5,0.0,0
90,10,10,0.0,0
90,10,15,0.0,0
90,20,0,0.1512,1
90,20,5,0.1751,1
90,20,10,0.1703,1
90,20,15,0.0007,1
90,30,0,0.0675,1
90,30,5,0.0329,1
90,30,10,0.0,0
90,30,15,0.0,0
90,40,0,0.0,0
90,40,5,0.0,0
90,40,10,0.0439,1
90,40,15,0.1819,1
90,50,0,0.0,0
90,50,5,0.0475,1
90,50,10,0.0045,1
90,50,15,0.1236,2
90,60,0,0.0446,1
90,60,5,0.0349,1
90,60,10,0.0873,2
90,60,15,0.3303,2
90,70,0,0.1999,1
90,70,5,0.1034,1
90,70,10,0.1149,2
90,70,15,0.3596,2
90,80,0,0.1933,1
90,80,5,0.0045,1
90,80,10,0.0889,2
