fiss,k,leap,score
50,20,0,0.0
50,20,15,0.2919
50,20,30,0.2206
50,60,0,0.0971
50,60,15,0.0916
50,60,30,0.0
50,100,0,0.0974
50,100,15,0.0916
50,100,30,0.0
100,20,0,0.0
100,20,15,0.0
100,20,30,0.3088
100,60,0,0.0
100,60,15,0.2278
100,60,30,0.0458
100,100,0,0.0811
100,100,15,0.1473
100,100,30,0.0912
150,20,0,0.0
150,20,15,0.1058
150,20,30,0.1389
150,60,0,0.0
150,60,15,0.1755
150,60,30,0.3194
150,100,0,0.0
150,100,15,0.1634
150,100,30,0.0456

Cult: arawak | Start: 4100 | Site: latia | Veg: 0.0
