fiss,k,leap,score
50,20,0,0.0
50,20,15,0.2324
50,20,30,0.2487
50,60,0,0.1223
50,60,15,0.0456
50,60,30,0.0
50,100,0,0.1213
50,100,15,0.2183
50,100,30,0.0
100,20,0,0.0
100,20,15,0.0
100,20,30,0.3673
100,60,0,0.0
100,60,15,0.2473
100,60,30,0.0456
100,100,0,0.0822
100,100,15,0.1872
100,100,30,0.0913
150,20,0,0.0
150,20,15,0.117
150,20,30,0.0937
150,60,0,0.0
150,60,15,0.1332
150,60,30,0.3444
150,100,0,0.0
150,100,15,0.1936
150,100,30,0.0914

Cult: arawak | Start: 4100 | Site: latia | Veg: 0.5
