fiss,k,leap,score
50,20,0,0.0
50,20,15,0.0634
50,20,30,0.0
50,60,0,0.0
50,60,15,0.0
50,60,30,0.0625
50,100,0,0.0
50,100,15,0.0
50,100,30,0.0625
100,20,0,0.0
100,20,15,0.0
100,20,30,0.0629
100,60,0,0.0
100,60,15,0.0
100,60,30,0.0
100,100,0,0.0
100,100,15,0.0
100,100,30,0.0
150,20,0,0.0
150,20,15,0.0
150,20,30,0.0
150,60,0,0.0
150,60,15,0.0949
150,60,30,0.0
150,100,0,0.0
150,100,15,0.0
150,100,30,0.0

Cult: arawak | Start: 3000 | Site: saladero | Veg: 0.5
