fiss,k,leap,score
50,20,0,0.0831
50,20,15,0.3004
50,20,30,0.1737
50,60,0,0.0808
50,60,15,0.2398
50,60,30,0.1679
50,100,0,0.0689
50,100,15,0.247
50,100,30,0.1678
100,20,0,0.0
100,20,15,0.1339
100,20,30,0.2524
100,60,0,0.074
100,60,15,0.1721
100,60,30,0.2029
100,100,0,0.0781
100,100,15,0.1635
100,100,30,0.202
150,20,0,0.0
150,20,15,0.0
150,20,30,0.0
150,60,0,0.0
150,60,15,0.2796
150,60,30,0.1776
150,100,0,0.042
150,100,15,0.1221
150,100,30,0.2434

Cult: tupi | Start: 2500 | Site: bvista | Veg: 0.5
