veg,max,fiss,r,k,leap,perm,score
0.0,0.0,150,0.03,50,15,10,1414
0.0,0.0,150,0.03,50,15,20,1378
0.0,0.0,150,0.03,50,15,30,1275
0.0,0.0,150,0.03,100,0,10,1364
0.0,0.0,150,0.03,100,0,20,1075
0.0,0.0,150,0.03,100,0,30,558
0.0,0.0,150,0.03,100,5,10,1534
0.0,0.0,150,0.03,100,5,20,1312
0.0,0.0,150,0.03,100,5,30,1057
0.0,0.0,150,0.03,100,15,10,2008
0.0,0.0,150,0.03,100,15,20,1938
0.0,0.0,150,0.03,100,15,30,1846
0.0,0.0,150,0.04,10,0,10,1674
0.0,0.0,150,0.04,10,0,20,1674
0.0,0.0,150,0.04,10,0,30,1674
0.0,0.0,150,0.04,10,5,10,1674
0.0,0.0,150,0.04,10,5,20,1674
0.0,0.0,150,0.04,10,5,30,1674
0.0,0.0,150,0.04,10,15,10,1674
0.0,0.0,150,0.04,10,15,20,1674
0.0,0.0,150,0.04,10,15,30,1674
0.0,0.0,150,0.04,50,0,10,1398
0.0,0.0,150,0.04,50,0,20,959
0.0,0.0,150,0.04,50,0,30,813
0.0,0.0,150,0.04,50,5,10,1419
0.0,0.0,150,0.04,50,5,20,1071
0.0,0.0,150,0.04,50,5,30,960
0.0,0.0,150,0.04,50,15,10,1721
0.0,0.0,150,0.04,50,15,20,1661
0.0,0.0,150,0.04,50,15,30,1654
0.0,0.0,150,0.04,100,0,10,1572
0.0,0.0,150,0.04,100,0,20,1068
0.0,0.0,150,0.04,100,0,30,1037
0.0,0.0,150,0.04,100,5,10,1727
0.0,0.0,150,0.04,100,5,20,1483
0.0,0.0,150,0.04,100,5,30,1535
0.0,0.0,150,0.04,100,15,10,2137
0.0,0.0,150,0.04,100,15,20,2074
0.0,0.0,150,0.04,100,15,30,2086
0.0,0.23,50,0.02,10,0,10,1574
0.0,0.23,50,0.02,10,0,20,1518
0.0,0.23,50,0.02,10,0,30,1567
0.0,0.23,50,0.02,10,5,10,1548
0.0,0.23,50,0.02,10,5,20,1535
0.0,0.23,50,0.02,10,5,30,1555
0.0,0.23,50,0.02,10,15,10,1544
0.0,0.23,50,0.02,10,15,20,1397
0.0,0.23,50,0.02,10,15,30,1524
0.0,0.23,50,0.03,10,0,10,780
0.0,0.23,50,0.03,10,0,20,915
