veg,fiss,r,k,leap,score,dates
-1,150,0.02,10,15,0,0
-1,150,0.03,10,0,0,0
-1,150,0.03,10,5,0,0
-1,150,0.03,10,10,0,0
-1,150,0.03,10,15,0,0
-1,150,0.03,100,10,0,0
-1,150,0.03,100,15,0,0
-1,150,0.04,10,0,0,0
-1,150,0.04,10,5,0,0
-1,150,0.04,10,10,0,0
-1,150,0.04,10,15,0,0
-1,150,0.04,100,10,0,0
-1,150,0.04,100,15,0,0
0.4,50,0.02,10,10,0,0
0.4,100,0.02,10,0,0,0
0.4,100,0.02,10,5,0,0
0.4,100,0.02,10,10,0,0
0.4,100,0.02,10,15,0,0
0.4,100,0.03,10,0,0,0
0.4,100,0.03,10,5,0,0
0.4,100,0.03,10,10,0,0
0.4,100,0.03,10,15,0,0
0.4,100,0.04,10,0,0,0
0.4,100,0.04,10,5,0,0
0.4,100,0.04,10,10,0,0
0.4,100,0.04,10,15,0,0
0.4,100,0.04,50,15,0,0
0.4,150,0.02,10,0,0,0
0.4,150,0.02,10,5,0,0
0.4,150,0.02,10,10,0,0
0.4,150,0.02,10,15,0,0
0.4,150,0.03,10,0,0,0
0.4,150,0.03,10,5,0,0
0.4,150,0.03,10,10,0,0
0.4,150,0.03,10,15,0,0
0.4,150,0.03,100,15,0,0
0.4,150,0.04,10,0,0,0
0.4,150,0.04,10,5,0,0
0.4,150,0.04,10,10,0,0
0.4,150,0.04,10,15,0,0
0.4,150,0.04,100,10,0,0
0.4,150,0.04,100,15,0,0
0.5,50,0.02,10,15,0,0
0.5,100,0.02,10,0,0,0
0.5,100,0.02,10,5,0,0
0.5,100,0.02,10,10,0,0
0.5,100,0.02,10,15,0,0
0.5,100,0.03,10,0,0,0
0.5,100,0.03,10,5,0,0
0.5,100,0.03,10,10,0,0
0.5,100,0.03,10,15,0,0
0.5,100,0.04,10,0,0,0
0.5,100,0.04,10,5,0,0
0.5,100,0.04,10,10,0,0
0.5,100,0.04,10,15,0,0
0.5,150,0.02,10,0,0,0
0.5,150,0.02,10,5,0,0
0.5,150,0.02,10,10,0,0
0.5,150,0.02,10,15,0,0
0.5,150,0.02,50,0,0,0
0.5,150,0.03,10,0,0,0
0.5,150,0.03,10,5,0,0
0.5,150,0.03,10,10,0,0
0.5,150,0.03,10,15,0,0
0.5,150,0.04,10,0,0,0
0.5,150,0.04,10,5,0,0
0.5,150,0.04,10,10,0,0
0.5,150,0.04,10,15,0,0
0.5,150,0.04,100,15,0,0
0.6,50,0.02,10,0,0,0
0.6,50,0.02,10,5,0,0
0.6,50,0.02,10,10,0,0
0.6,50,0.02,10,15,0,0
0.6,50,0.03,10,0,0,0
0.6,50,0.03,10,5,0,0
0.6,50,0.03,10,10,0,0
0.6,50,0.03,10,15,0,0
0.6,50,0.04,10,0,0,0
0.6,50,0.04,10,5,0,0
0.6,50,0.04,10,10,0,0
0.6,100,0.02,10,0,0,0
0.6,100,0.02,10,5,0,0
0.6,100,0.02,10,10,0,0
0.6,100,0.02,10,15,0,0
0.6,100,0.02,50,0,0,0
0.6,100,0.02,50,5,0,0
0.6,100,0.02,50,10,0,0
0.6,100,0.03,10,0,0,0
0.6,100,0.03,10,5,0,0
0.6,100,0.03,10,10,0,0
0.6,100,0.03,10,15,0,0
0.6,100,0.03,50,0,0,0
0.6,100,0.03,50,5,0,0
0.6,100,0.03,50,10,0,0
0.6,100,0.03,50,15,0,0
0.6,100,0.04,10,0,0,0
0.6,100,0.04,10,5,0,0
0.6,100,0.04,10,10,0,0
0.6,100,0.04,10,15,0,0
0.6,100,0.04,50,0,0,0
0.6,100,0.04,50,5,0,0
0.6,150,0.02,10,0,0,0
0.6,150,0.02,10,5,0,0
0.6,150,0.02,10,10,0,0
0.6,150,0.02,10,15,0,0
0.6,150,0.02,50,0,0,0
0.6,150,0.02,50,5,0,0
0.6,150,0.02,50,10,0,0
0.6,150,0.02,50,15,0,0
0.6,150,0.02,100,0,0,0
0.6,150,0.02,100,5,0,0
0.6,150,0.02,100,10,0,0
0.6,150,0.03,10,0,0,0
0.6,150,0.03,10,5,0,0
0.6,150,0.03,10,10,0,0
0.6,150,0.03,10,15,0,0
0.6,150,0.03,50,0,0,0
0.6,150,0.03,50,5,0,0
0.6,150,0.03,50,10,0,0
0.6,150,0.03,100,0,0,0
0.6,150,0.03,100,5,0,0
0.6,150,0.04,10,0,0,0
0.6,150,0.04,10,5,0,0
0.6,150,0.04,10,10,0,0
0.6,150,0.04,10,15,0,0
0.6,150,0.04,50,0,0,0
0.6,150,0.04,50,5,0,0
0.6,150,0.04,50,10,0,0
0.6,150,0.04,100,0,0,0
0.6,150,0.04,100,5,0,0
0.6,150,0.04,100,15,0,0
,,,,,,
Cult: tupi | Start: 4400 | Site: encontro,,,,,,
