fiss,k,leap,score,dates
50,10,15,0.221,4
90,20,10,0.1778,3
100,20,15,0.0513,3
110,20,15,0.152,3
120,30,10,0.0374,3
120,40,0,0.2273,3
140,30,10,0.0807,3
150,30,15,0.2575,3
150,50,0,0.2248,3
50,20,0,0.2066,2
50,20,5,0.0205,2
60,20,0,0.1919,2
60,20,5,0.2016,2
60,30,5,0.0755,2
70,20,0,0.1137,2
70,20,5,0.2041,2
70,30,0,0.0355,2
80,20,0,0.1801,2
80,20,5,0.2268,2
80,20,10,0.1946,2
80,30,5,0.008,2
80,40,0,0.0208,2
80,40,5,0.0308,2
90,20,0,0.2182,2
90,20,5,0.293,2
90,30,0,0.178,2
90,30,5,0.196,2
90,40,0,0.0305,2
100,20,10,0.2404,2
100,30,0,0.1972,2
100,40,5,0.0059,2
100,50,0,0.0176,2
110,20,10,0.0443,2
110,30,0,0.1912,2
110,30,5,0.1828,2
110,40,5,0.0218,2
110,50,0,0.0255,2
120,30,0,0.2824,2
120,30,5,0.2847,2
120,40,5,0.1941,2
120,50,0,0.0326,2
120,60,0,0.0309,2
130,30,0,0.2498,2
130,30,5,0.2658,2
130,30,10,0.1198,2
130,50,0,0.0261,2
130,60,0,0.0296,2
140,30,0,0.1881,2
140,30,5,0.1796,2
140,40,0,0.0884,2
140,40,5,0.1811,2
140,70,0,0.0448,2
150,30,10,0.1296,2
150,40,0,0.0888,2
150,40,5,0.2037,2
150,50,5,0.2142,2
150,60,0,0.0202,2
150,70,0,0.0361,2
50,10,0,0.0056,1
50,10,5,0.0113,1
50,10,10,0.0155,1
50,20,10,0.1979,1
50,20,15,0.1991,1
60,10,0,0.147,1
60,10,5,0.0031,1
60,10,10,0.0069,1
60,10,15,0.1674,1
60,20,10,0.0815,1
60,20,15,0.1784,1
60,30,0,0.0079,1
60,30,10,0.1965,1
60,30,15,0.1993,1
70,10,0,0.191,1
70,20,10,0.1978,1
70,20,15,0.1991,1
70,30,5,0.0272,1
70,30,10,0.1647,1
70,30,15,0.1952,1
70,40,0,0.069,1
80,20,15,0.1852,1
80,30,0,0.1565,1
80,30,10,0.1767,1
80,30,15,0.177,1
80,40,10,0.1806,1
80,40,15,0.1878,1
90,20,15,0.187,1
90,30,10,0.0552,1
90,30,15,0.1975,1
90,40,5,0.069,1
90,40,10,0.1767,1
90,40,15,0.1508,1
100,30,5,0.1937,1
100,30,10,0.1974,1
100,30,15,0.1848,1
100,40,0,0.0156,1
100,40,10,0.1979,1
100,40,15,0.0933,1
100,50,5,0.0798,1
100,50,10,0.175,1
100,50,15,0.1508,1
100,60,0,0.032,1
110,20,5,0.0237,1
110,30,10,0.0578,1
110,30,15,0.187,1
110,40,0,0.1937,1
110,40,10,0.1765,1
110,40,15,0.1508,1
110,50,5,0.069,1
