veg,max,fiss,r,k,leap,perm,score,dates
0.4,0.23,150,0.03,100,5,30,0.2468,4
0.4,0,150,0.02,50,10,30,0.4039,3
0.4,0,150,0.02,50,0,10,0.3429,3
0.4,0,50,0.04,10,0,30,0.3046,3
0.4,0,50,0.04,10,5,30,0.2563,3
0.4,0,50,0.02,10,15,30,0.1819,3
0.4,0.23,100,0.04,50,5,30,0.1502,3
0.4,0,150,0.02,50,5,10,0.094,3
0.4,0,150,0.03,50,5,30,0.0732,3
0.4,0,150,0.02,100,5,30,0.3444,2
-1,0.23,150,0.02,100,5,30,0.2597,2
-1,0,150,0.02,100,0,30,0.2547,2
-1,0,150,0.02,50,10,30,0.2473,2
-1,0,50,0.02,10,15,10,0.2422,2
-1,0.23,100,0.02,50,10,30,0.2143,2
-1,0,100,0.03,50,0,30,0.2099,2
-1,0,50,0.03,10,5,30,0.2038,2
-1,0,100,0.02,50,5,30,0.1998,2
0.4,0.23,150,0.02,50,15,30,0.1989,2
-1,0.23,150,0.02,50,15,30,0.1962,2
-1,0,150,0.03,50,5,30,0.1924,2
-1,0,150,0.03,50,0,30,0.1748,2
0.4,0.23,50,0.04,10,10,30,0.1721,2
-1,0.23,150,0.03,50,10,30,0.172,2
-1,0,150,0.02,50,5,30,0.1718,2
-1,0.23,50,0.04,10,0,30,0.1657,2
0.5,0,150,0.02,100,5,30,0.1615,2
-1,0,50,0.03,10,0,30,0.1596,2
0.4,0.23,150,0.02,100,5,30,0.1392,2
0.4,0.23,150,0.04,100,0,30,0.112,2
0.5,0,100,0.02,50,0,10,0.1103,2
0.4,0.23,50,0.04,10,15,30,0.1064,2
0.4,0,50,0.02,10,10,10,0.105,2
0.5,0,150,0.02,50,15,10,0.1047,2
-1,0,150,0.03,100,0,30,0.1016,2
0.4,0.23,150,0.02,50,15,10,0.0963,2
0.4,0,50,0.03,10,10,30,0.09,2
-1,0,150,0.02,50,0,30,0.0887,2
0.4,0,150,0.03,100,0,30,0.0815,2
0.4,0,100,0.03,50,5,30,0.0747,2
0.4,0.23,50,0.03,10,15,30,0.06,2
-1,0.23,50,0.04,10,5,30,0.0448,2
0.4,0,100,0.03,50,0,30,0.0444,2
