fiss,k,leap,score,dates
150,70,5,0.0475,1
150,70,10,0.1243,1
150,80,0,0.1973,1
150,80,5,0.096,1
150,90,0,0.1917,1
150,90,5,0.0303,1
150,100,0,0.1205,1
150,100,5,0.0004,1
50,20,0,0,0
50,40,5,0,0
60,20,0,0,0
60,20,5,0,0
70,10,0,0,0
70,10,5,0,0
70,10,10,0,0
70,10,15,0,0
70,20,0,0,0
70,20,5,0,0
70,50,5,0,0
80,10,0,0,0
80,10,5,0,0
80,10,10,0,0
80,10,15,0,0
80,20,0,0,0
80,20,5,0,0
80,20,10,0,0
80,20,15,0,0
80,30,0,0,0
90,10,0,0,0
90,10,5,0,0
90,10,10,0,0
90,10,15,0,0
90,20,0,0,0
90,20,5,0,0
90,20,10,0,0
90,20,15,0,0
90,30,0,0,0
90,30,5,0,0
90,60,5,0,0
100,10,0,0,0
100,10,5,0,0
100,10,10,0,0
100,10,15,0,0
100,20,0,0,0
100,20,5,0,0
100,20,10,0,0
100,20,15,0,0
100,30,0,0,0
100,30,5,0,0
100,90,0,0,0
110,10,0,0,0
110,10,5,0,0
110,10,10,0,0
110,10,15,0,0
110,20,0,0,0
110,20,10,0,0
110,20,15,0,0
110,30,0,0,0
110,30,5,0,0
110,70,5,0,0
120,10,0,0,0
120,10,5,0,0
120,10,10,0,0
120,10,15,0,0
120,30,0,0,0
120,30,5,0,0
120,30,10,0,0
120,30,15,0,0
120,40,0,0,0
120,40,5,0,0
120,80,5,0,0
130,10,0,0,0
130,10,5,0,0
130,10,10,0,0
130,10,15,0,0
130,30,0,0,0
130,30,5,0,0
130,30,10,0,0
130,40,0,0,0
130,40,5,0,0
130,90,5,0,0
140,10,0,0,0
140,10,5,0,0
140,10,10,0,0
140,10,15,0,0
140,20,0,0,0
140,20,5,0,0
140,20,15,0,0
140,30,0,0,0
140,30,5,0,0
140,30,10,0,0
140,30,15,0,0
140,40,0,0,0
140,40,5,0,0
140,50,0,0,0
140,100,5,0,0
150,10,0,0,0
150,10,5,0,0
150,10,10,0,0
150,10,15,0,0
150,20,0,0,0
150,20,5,0,0
150,20,10,0,0
150,20,15,0,0
150,30,5,0,0
150,30,10,0,0
150,30,15,0,0
150,40,0,0,0
150,40,5,0,0
150,50,0,0,0
150,50,5,0,0
,,,,
Cult: tupi | Start: 2400 | Site: bvista | Veg: -1.0,,,,
