fiss,k,leap,score
50,20,0,0.0
50,20,15,0.0614
50,20,30,0.0491
50,60,0,0.0
50,60,15,0.0
50,60,30,0.0
50,100,0,0.0
50,100,15,0.0
50,100,30,0.0
100,20,0,0.0
100,20,15,0.0
100,20,30,0.0954
100,60,0,0.0
100,60,15,0.0
100,60,30,0.0
100,100,0,0.0
100,100,15,0.0
100,100,30,0.0
150,20,0,0.0
150,20,15,0.0
150,20,30,0.0
150,60,0,0.0
150,60,15,0.0837
150,60,30,0.0487
150,100,0,0.0
150,100,15,0.0
150,100,30,0.0

Cult: tupi | Start: 4400 | Site: encontro | Veg: 0.5
