fiss,k,leap,score,dates
50,25,0,0.0544,1
50,25,15,0.0591,2
50,25,20,0.0537,1
50,25,25,0.0501,1
50,25,30,0.0489,1
50,50,0,0.0538,1
50,50,15,0.0525,1
50,50,20,0.0311,1
50,50,25,0.0333,1
50,50,30,0.0311,1
50,75,0,0.0555,1
50,75,15,0.0555,1
50,75,20,0.0284,1
50,75,25,0.0311,1
50,75,30,0.0284,1
50,100,0,0.0555,1
50,100,15,0.0555,1
50,100,20,0.0284,1
50,100,25,0.0311,1
50,100,30,0.0284,1
75,25,0,0.038,1
75,25,15,0.0282,2
75,25,20,0.093,2
75,25,25,0.0666,2
75,25,30,0.0404,1
75,50,0,0.0386,1
75,50,15,0.0392,1
75,50,20,0.0543,1
75,50,25,0.0543,1
75,50,30,0.0549,1
75,75,0,0.0362,1
75,75,15,0.0362,1
75,75,20,0.0555,1
75,75,25,0.0549,1
75,75,30,0.0543,1
75,100,0,0.0422,1
75,100,15,0.0404,1
75,100,20,0.0537,1
75,100,25,0.0549,1
75,100,30,0.0537,1
100,25,0,0.0596,1
100,25,15,0.0537,2
100,25,20,0.1072,2
100,25,25,0.0586,2
100,25,30,0.0573,2
100,50,0,0.0368,1
100,50,15,0.0919,2
100,50,20,0.055,1
100,50,25,0.0549,1
100,50,30,0.0507,1
100,75,0,0.0483,1
100,75,15,0.0495,1
100,75,20,0.0549,1
100,75,25,0.0549,1
100,75,30,0.0543,1
100,100,0,0.0368,1
100,100,15,0.0362,1
100,100,20,0.0549,1
100,100,25,0.0549,1
100,100,30,0.0543,1
125,25,0,0.076,1
125,25,15,0.0535,3
125,25,20,0.0658,2
125,25,25,0.066,2
125,25,30,0.0591,2
125,50,0,0.0507,1
125,50,15,0.0761,2
125,50,20,0.0549,1
125,50,25,0.0555,1
125,50,30,0.0549,1
125,75,0,0.0458,1
125,75,15,0.0483,1
125,75,20,0.0458,1
125,75,25,0.0434,1
125,75,30,0.0489,1
125,100,0,0.0519,1
125,100,15,0.0483,1
125,100,20,0.0416,1
125,100,25,0.0416,1
125,100,30,0.0416,1
150,25,0,0.0647,1
150,25,15,0.0592,3
150,25,20,0.0572,2
150,25,25,0.0475,2
150,25,30,0.0487,2
150,50,0,0.0374,1
150,50,15,0.0565,2
150,50,20,0.0654,2
150,50,25,0.0746,2
150,50,30,0.0645,2
150,75,0,0.0471,1
150,75,15,0.0701,2
150,75,20,0.0746,2
150,75,25,0.0555,1
150,75,30,0.0549,1
150,100,0,0.0507,1
150,100,15,0.0507,1
150,100,20,0.0489,1
150,100,25,0.0501,1
150,100,30,0.0501,1

Cult: tupi | Start: 5000 | Site: jiparana | Veg: 0.5
