veg,fiss,r,k,leap,score,dates
0.4,50,0.02,10,0,0.2028,4
0.4,150,0.02,50,5,0.1827,4
-1,150,0.02,50,10,0.1717,4
-1,100,0.02,50,5,0.1377,4
0.4,150,0.02,50,10,0.1294,4
0.4,100,0.02,50,5,0.1213,3
0.4,100,0.02,50,0,0.1034,3
0.4,150,0.02,50,0,0.0851,3
-1,50,0.03,10,10,0.0844,3
-1,50,0.03,10,0,0.075,3
0.4,50,0.03,10,10,0.0735,3
-1,50,0.02,10,10,0.0615,3
0.5,150,0.04,50,15,0.0521,3
-1,100,0.02,50,0,0.0412,3
-1,50,0.02,10,0,0.0393,3
0.5,100,0.03,50,15,0.0227,3
0.4,50,0.03,10,5,0.0226,3
0.5,100,0.04,50,10,0.0171,3
0.5,150,0.04,100,5,0.0167,3
0.4,50,0.03,10,0,0.0133,3
0.4,50,0.02,10,10,0.0041,3
-1,50,0.02,10,5,0.0313,2
-1,50,0.03,10,5,0.0844,2
-1,50,0.03,10,15,0.2312,2
-1,150,0.02,50,0,0.0322,2
-1,150,0.02,50,5,0.0248,2
-1,150,0.03,50,15,0.0365,2
-1,150,0.04,50,0,0.0046,2
-1,150,0.04,50,5,0.0187,2
0.4,50,0.02,10,5,0.118,2
0.4,50,0.02,10,15,0.0366,2
0.4,50,0.03,10,15,0.1737,2
0.4,100,0.03,50,10,0.0856,2
0.4,100,0.04,50,0,0.0053,2
0.4,100,0.04,50,5,0.07,2
0.4,150,0.02,100,10,0.1247,2
0.4,150,0.03,50,15,0.0863,2
0.4,150,0.03,100,5,0.022,2
0.5,100,0.02,50,0,0.1132,2
0.5,100,0.02,50,5,0.045,2
0.5,100,0.02,50,10,0.0769,2
0.5,100,0.02,50,15,0.0851,2
0.5,100,0.03,50,5,0.1305,2
0.5,100,0.04,50,5,0.019,2
0.5,150,0.02,50,5,0.0977,2
0.5,150,0.02,50,15,0.1149,2
0.5,150,0.02,100,0,0.1224,2
0.5,150,0.02,100,15,0.1189,2
0.5,150,0.03,50,5,0.0146,2
0.5,150,0.03,50,10,0.1036,2
0.5,150,0.03,50,15,0.0448,2
0.5,150,0.03,100,5,0.0234,2
0.5,150,0.03,100,10,0.1344,2
0.5,150,0.04,50,0,0.1313,2
0.5,150,0.04,50,10,0.0185,2
0.5,150,0.04,100,0,0.0248,2
0.6,150,0.03,100,15,0.0569,2
0.6,150,0.04,50,15,0.0969,2
0.6,150,0.04,100,10,0.0596,2
-1,50,0.02,10,15,0.003,1
-1,50,0.04,10,0,0.0602,1
-1,50,0.04,10,5,0.0841,1
-1,50,0.04,10,10,0.0138,1
-1,50,0.04,10,15,0.0062,1
-1,100,0.02,50,10,0.1243,1
-1,100,0.02,50,15,0.0761,1
-1,100,0.03,50,0,0.0447,1
-1,100,0.03,50,5,0.022,1
-1,100,0.03,50,10,0.0739,1
-1,100,0.03,50,15,0.068,1
-1,100,0.04,50,0,0.0729,1
-1,100,0.04,50,5,0.0709,1
-1,100,0.04,50,10,0.0186,1
-1,150,0.02,50,15,0.1245,1
-1,150,0.02,100,0,0.0902,1
-1,150,0.02,100,5,0.0374,1
-1,150,0.02,100,10,0.1223,1
-1,150,0.02,100,15,0.0028,1
-1,150,0.03,50,0,0.0535,1
-1,150,0.03,50,5,0.0602,1
-1,150,0.03,50,10,0.0047,1
-1,150,0.03,100,0,0.0035,1
-1,150,0.03,100,5,0.0869,1
-1,150,0.03,100,10,0.0024,1
-1,150,0.04,50,10,0.121,1
-1,150,0.04,50,15,0.0295,1
-1,150,0.04,100,0,0.1223,1
-1,150,0.04,100,5,0.039,1
0.4,50,0.04,10,0,0.0917,1
0.4,50,0.04,10,5,0.0917,1
0.4,50,0.04,10,10,0.0666,1
0.4,50,0.04,10,15,0.0038,1
