fiss,k,leap,score,dates
50,10,0,0.1934,1
50,10,5,0.1032,1
50,10,10,0.1948,1
50,10,15,0.1851,1
50,20,0,0.1753,1
50,20,5,0.1376,1
50,20,10,0.1978,1
50,20,15,0.1243,1
50,30,0,0.0434,1
50,30,5,0.1205,1
50,30,10,0.0279,1
50,30,15,0.2379,2
50,40,0,0.1972,1
50,40,5,0.0,0
50,40,10,0.0437,2
50,40,15,0.3704,2
60,10,0,0.1599,1
60,10,5,0.0775,1
60,10,10,0.0,0
60,10,15,0.0,0
60,20,0,0.1936,1
60,20,5,0.1987,1
60,20,10,0.1819,1
60,20,15,0.1858,1
60,30,0,0.1805,1
60,30,5,0.1774,1
60,30,10,0.1428,2
60,30,15,0.1988,1
60,40,0,0.2118,2
60,40,5,0.1932,1
60,40,10,0.0,1
60,40,15,0.0782,2
60,50,0,0.1987,1
60,50,5,0.1109,1
60,50,10,0.05,1
60,50,15,0.245,2
70,10,0,0.0,0
70,10,5,0.0,0
70,10,10,0.0,0
70,10,15,0.0,0
70,20,0,0.1909,1
70,20,5,0.1978,1
70,20,10,0.1958,1
70,20,15,0.1753,1
70,30,0,0.1975,1
70,30,5,0.1847,1
70,30,10,0.1543,2
70,30,15,0.1897,1
70,40,0,0.1879,1
70,40,5,0.0732,1
70,40,10,0.0,0
70,40,15,0.098,2
70,50,0,0.1595,2
70,50,5,0.0334,1
70,50,10,0.0125,1
70,50,15,0.1936,2
70,60,0,0.1819,1
70,60,5,0.0039,1
70,60,10,0.0534,2
70,60,15,0.2905,2
80,10,0,0.0,0
80,10,5,0.0,0
80,10,10,0.0,0
80,10,15,0.0,0
80,20,0,0.1851,1
80,20,5,0.1864,1
80,20,10,0.1874,1
80,20,15,0.1936,1
80,30,0,0.1987,1
80,30,5,0.1975,1
80,30,10,0.1887,1
80,30,15,0.0589,1
80,40,0,0.1805,1
80,40,5,0.1774,1
80,40,10,0.2344,2
80,40,15,0.1776,1
80,50,0,0.1935,2
80,50,5,0.1816,1
80,50,10,0.0006,1
80,50,15,0.0883,2
80,60,0,0.3108,2
80,60,5,0.0997,1
80,60,10,0.0435,1
80,60,15,0.2626,2
80,70,0,0.1783,1
80,70,5,0.0014,1
80,70,10,0.0606,2
80,70,15,0.2852,2
90,10,0,0.0,0
90,10,5,0.0,0
90,10,10,0.0,0
90,10,15,0.0,0
90,20,0,0.1847,1
90,20,5,0.1726,1
90,20,10,0.1934,1
90,20,15,0.19,1
90,30,0,0.1975,1
90,30,5,0.1942,1
90,30,10,0.1979,1
90,30,15,0.1764,1
90,40,0,0.1764,1
90,40,5,0.1795,1
90,40,10,0.2212,2
90,40,15,0.1885,1
90,50,0,0.1747,1
90,50,5,0.1595,2
90,50,10,0.0,0
90,50,15,0.0776,2
90,60,0,0.0434,1
90,60,5,0.0424,1
90,60,10,0.0196,1
90,60,15,0.1991,2
90,70,0,0.1988,1
90,70,5,0.1109,1
90,70,10,0.0542,1
90,70,15,0.2474,2
90,80,0,0.1917,1
90,80,5,0.0011,1
90,80,10,0.0954,2
90,80,15,0.2962,2
100,10,0,0.0,0
100,10,5,0.0,0
100,10,10,0.0,0
100,10,15,0.0,0
100,20,0,0.0658,1
100,20,5,0.1826,1
100,20,10,0.19,1
100,20,15,0.1186,1
100,30,0,0.1971,1
100,30,5,0.1841,1
100,30,10,0.1764,1
100,30,15,0.1778,1
100,40,0,0.1945,1
100,40,5,0.1932,1
100,40,10,0.1659,1
100,40,15,0.1987,1
100,50,0,0.1764,1
100,50,5,0.1764,1
100,50,10,0.1963,2
100,50,15,0.1917,1
100,60,0,0.187,2
100,60,5,0.1841,1
100,60,10,0.0045,1
100,60,15,0.0786,2
100,70,0,0.1752,2
100,70,5,0.0511,1
100,70,10,0.0125,1
100,70,15,0.2489,2
100,80,0,0.1988,1
100,80,5,0.096,1
100,80,10,0.0586,1
100,80,15,0.272,2
100,90,0,0.1943,1
100,90,5,0.003,1
100,90,10,0.0552,2
100,90,15,0.2861,2
110,10,0,0.0,0
110,10,5,0.0,0
110,10,10,0.0,0
110,10,15,0.0,0
110,20,0,0.0447,1
110,20,5,0.1553,1
110,20,10,0.1836,1
110,20,15,0.1844,1
110,30,0,0.1948,1
110,30,5,0.1883,1
110,30,10,0.1969,1
110,30,15,0.1982,2
110,40,0,0.1932,1
110,40,5,0.1871,1
110,40,10,0.2467,2
110,40,15,0.1985,1
110,50,0,0.1747,1
110,50,5,0.1829,1
110,50,10,0.0856,1
110,50,15,0.1243,1
110,60,0,0.0991,2
110,60,5,0.1988,1
110,60,10,0.0041,1
110,60,15,0.0608,2
110,70,0,0.1553,2
110,70,5,0.0334,1
110,70,10,0.0063,1
110,70,15,0.1736,2
110,80,0,0.1951,1
110,80,5,0.0564,1
110,80,10,0.0685,1
110,80,15,0.2704,2
110,90,0,0.1953,1
110,90,5,0.0006,1
110,90,10,0.0488,2
110,90,15,0.283,2
110,100,0,0.0582,1
110,100,5,0.0,0
110,100,10,0.0407,2
110,100,15,0.3625,2
120,10,0,0.0,0
120,10,5,0.0,0
120,10,10,0.0,0
120,10,15,0.0,0
120,20,0,0.1841,1
120,20,5,0.1841,1
120,20,10,0.0595,1
120,20,15,0.1844,1
120,30,0,0.1934,1
120,30,5,0.1987,1
120,30,10,0.1774,1
