Region,x,y,score,year
PAR,787924,1201890,0.750373,2285
NE,2317990,2105620,0.993072,1747
ATL,1715120,974134,0.398172,1734
CO,1220650,2050600,0,3155
EAM,1047970,2977450,0,3600
