fiss,k,leap,score,dates
50,25,0,0.1733,3
50,25,15,0.1882,2
50,25,20,0.1532,2
50,25,25,0.1428,2
50,25,30,0.1415,2
50,50,0,0.2319,4
50,50,15,0.1387,2
50,50,20,0.1392,2
50,50,25,0.1362,2
50,50,30,0.1312,2
50,75,0,0.2332,4
50,75,15,0.1366,2
50,75,20,0.1346,2
50,75,25,0.1327,2
50,75,30,0.1282,2
50,100,0,0.2956,4
50,100,15,0.1366,2
50,100,20,0.1346,2
50,100,25,0.1327,2
50,100,30,0.1282,2
75,25,0,0.1264,3
75,25,15,0.2545,4
75,25,20,0.2063,2
75,25,25,0.1639,2
75,25,30,0.1536,2
75,50,0,0.2495,4
75,50,15,0.1659,2
75,50,20,0.1475,2
75,50,25,0.1445,2
75,50,30,0.145,2
75,75,0,0.2163,3
75,75,15,0.1621,2
75,75,20,0.152,2
75,75,25,0.1465,2
75,75,30,0.1451,2
75,100,0,0.2333,3
75,100,15,0.1694,2
75,100,20,0.1555,2
75,100,25,0.1513,2
75,100,30,0.1513,2
100,25,0,0.1258,2
100,25,15,0.2525,4
100,25,20,0.1843,2
100,25,25,0.1899,2
100,25,30,0.1628,2
100,50,0,0.1863,3
100,50,15,0.2165,2
100,50,20,0.188,2
100,50,25,0.1512,2
100,50,30,0.1589,2
100,75,0,0.1757,2
100,75,15,0.1634,2
100,75,20,0.1487,2
100,75,25,0.1453,2
100,75,30,0.1446,2
100,100,0,0.2195,3
100,100,15,0.1628,2
100,100,20,0.1512,2
100,100,25,0.1465,2
100,100,30,0.1451,2
125,25,0,0.1151,2
125,25,15,0.2651,3
125,25,20,0.1747,2
125,25,25,0.1503,2
125,25,30,0.141,2
125,50,0,0.2578,3
125,50,15,0.1748,2
125,50,20,0.1552,2
125,50,25,0.1525,2
125,50,30,0.1398,2
125,75,0,0.1604,3
125,75,15,0.1531,2
125,75,20,0.1363,2
125,75,25,0.1391,2
125,75,30,0.1334,2
125,100,0,0.1889,2
125,100,15,0.1378,2
125,100,20,0.1386,2
125,100,25,0.1391,2
125,100,30,0.1361,2
150,25,0,0.1177,2
150,25,15,0.301,5
150,25,20,0.202,3
150,25,25,0.1544,2
150,25,30,0.1582,2
150,50,0,0.1543,3
150,50,15,0.2168,3
150,50,20,0.1768,2
150,50,25,0.1584,2
150,50,30,0.164,2
150,75,0,0.2279,3
150,75,15,0.2047,2
150,75,20,0.1566,2
150,75,25,0.1565,2
150,75,30,0.1595,2
150,100,0,0.2263,3
150,100,15,0.1479,2
150,100,20,0.1407,2
150,100,25,0.1432,2
150,100,30,0.1419,2

Cult: arawak | Start: 4600 | Site: lagruta | Veg: 0.0
