Region,x,y,score,year
PAR,787924,1201890,0.10502,2089
NE,2317990,2105620,0.136327,1592
ATL,1715120,974134,0.292725,1774
CO,1220650,2050600,0,2551
EAM,1047970,2977450,0.0320232,1806
