Region,x,y,score,year
PAR,787924,1201890,0.35976,2326
NE,2317990,2105620,0.73238,1705
ATL,1715120,974134,0.0136494,1921
CO,1220650,2050600,0,2805
EAM,1047970,2977450,0,2926
